time_index,sea_height
2010101120,97
2010101121,114
2010101122,117
2010101123,113
201010120 ,113
201010121 ,92
201010122 ,79
201010123 ,70
201010124 ,70
201010125 ,69
201010126 ,77
201010127 ,89
201010128 ,89
201010129 ,109
2010101210,115
2010101211,115
2010101212,115
2010101213,99
2010101214,85
2010101215,74
2010101216,74
2010101217,67
2010101218,71
2010101219,80
2010101220,80
2010101221,98
2010101222,104
2010101223,105
201010130 ,105
201010131 ,93
201010132 ,82
201010133 ,73
201010134 ,73
201010135 ,68
201010136 ,73
201010137 ,83
201010138 ,83
201010139 ,103
2010101310,112
2010101311,116
2010101312,116
2010101313,108
2010101314,97
2010101315,86
2010101316,86
2010101317,75
2010101318,76
2010101319,81
2010101320,81
2010101321,95
2010101322,102
2010101323,106
201010140 ,106
201010141 ,100
201010142 ,91
201010143 ,81
201010144 ,81
201010145 ,71
201010146 ,72
201010147 ,78
201010148 ,78
201010149 ,95
2010101410,104
2010101411,110
2010101412,110
2010101413,110
2010101414,104
2010101415,94
2010101416,94
2010101417,81
2010101418,79
2010101419,82
2010101420,82
2010101421,94
2010101422,103
2010101423,109
201010150 ,109
201010151 ,111
201010152 ,106
201010153 ,99
201010154 ,99
201010155 ,88
201010156 ,86
201010157 ,88
201010158 ,88
201010159 ,101
2010101510,109
2010101511,117
2010101512,117
2010101513,122
2010101514,119
2010101515,113
2010101516,113
2010101517,101
2010101518,96
2010101519,96
2010101520,96
2010101521,103
2010101522,109
2010101523,115
201010160 ,115
201010161 ,120
201010162 ,120
201010163 ,116
201010164 ,116
201010165 ,109
201010166 ,106
201010167 ,107
201010168 ,107
201010169 ,114
2010101610,120
2010101611,126
2010101612,126
2010101613,132
2010101614,132
2010101615,128
2010101616,128
2010101617,117
2010101618,110
2010101619,105
2010101620,105
2010101621,102
2010101622,103
2010101623,106
201010170 ,106
201010171 ,111
201010172 ,112
201010173 ,112
201010174 ,112
201010175 ,107
201010176 ,104
201010177 ,102
201010178 ,102
201010179 ,104
2010101710,107
2010101711,112
2010101712,112
2010101713,121
2010101714,124
2010101715,125
2010101716,125
2010101717,119
2010101718,113
2010101719,106
2010101720,106
2010101721,98
2010101722,97
2010101723,97
201010180 ,97
201010181 ,102
201010182 ,105
201010183 ,107
201010184 ,107
201010185 ,107
201010186 ,104
201010187 ,101
201010188 ,101
201010189 ,97
2010101810,97
2010101811,99
2010101812,99
2010101813,106
2010101814,110
2010101815,114
2010101816,114
2010101817,113
2010101818,109
2010101819,103
2010101820,103
2010101821,91
2010101822,86
2010101823,84
201010190 ,84
201010191 ,86
201010192 ,90
201010193 ,95
201010194 ,95
201010195 ,100
201010196 ,100
201010197 ,98
201010198 ,98
201010199 ,91
2010101910,88
2010101911,87
2010101912,87
2010101913,92
2010101914,97
2010101915,102
2010101916,102
2010101917,109
2010101918,109
2010101919,105
2010101920,105
2010101921,94
2010101922,88
2010101923,84
201010200 ,84
201010201 ,84
201010202 ,89
201010203 ,96
201010204 ,96
201010205 ,107
201010206 ,110
201010207 ,111
201010208 ,111
201010209 ,105
2010102010,100
2010102011,96
2010102012,96
2010102013,96
2010102014,99
2010102015,104
2010102016,104
2010102017,113
2010102018,115
2010102019,113
2010102020,113
2010102021,101
2010102022,91
2010102023,82
201010210 ,82
201010211 ,75
201010212 ,76
201010213 ,80
201010214 ,80
201010215 ,91
201010216 ,95
201010217 ,96
201010218 ,96
201010219 ,89
2010102110,82
2010102111,74
2010102112,74
2010102113,67
2010102114,68
2010102115,72
2010102116,72
2010102117,83
2010102118,87
2010102119,88
2010102120,88
2010102121,79
2010102122,69
2010102123,59
201010220 ,59
201010221 ,48
201010222 ,48
201010223 ,52
201010224 ,52
201010225 ,66
201010226 ,74
201010227 ,79
201010228 ,79
201010229 ,77
2010102210,70
2010102211,62
2010102212,62
2010102213,52
2010102214,51
2010102215,55
2010102216,55
2010102217,68
2010102218,75
2010102219,79
2010102220,79
2010102221,76
2010102222,67
2010102223,57
201010230 ,57
201010231 ,44
201010232 ,43
201010233 ,47
201010234 ,47
201010235 ,63
201010236 ,74
201010237 ,82
201010238 ,82
201010239 ,87
2010102310,82
2010102311,75
2010102312,75
2010102313,64
2010102314,63
2010102315,66
2010102316,66
2010102317,80
2010102318,89
2010102319,96
2010102320,96
2010102321,96
